GNH Domain,GNH Sub-domain,Variable (concept),Raw survey variable,Reference question (latest available wording),2013 column,2013 answers,2014 column,2014 answers,2015 column,2015 answers,2016 column,2016 answers,2017 column,2017 answers
Health,healthcare_service_facing_issues,nurse_attitude_problem,SORUN_HEMSIRE,"B30.5 Sağlık hizmeti aldığınız kuruluşlarla ilgili, hemşirelerin/hastabakıcıların hastalara davranışında sorun var mı?",b30_5,1 Evet; 2 Hayır; 3 Fikrim yok,b30_5,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_HEMSIRE,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_HEMSIRE,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_HEMSIRE,1 Evet; 2 Hayır; 3 Fikri yok
Health,healthcare_service_facing_issues,problem_at_last_health_visit,SORUN_SAGLIK_HIZALIM,B29 En son sağlık hizmeti alımı sırasında herhangi bir sorun yaşadınız mı?,b29,1 Evet; 2 Hayır,b29,1 Evet; 2 Hayır,SORUN_SAGLIK_HIZALIM,1 Evet; 2 Hayır,SORUN_SAGLIK_HIZALIM,1 Evet; 2 Hayır,SORUN_SAGLIK_HIZALIM,1 Evet; 2 Hayır
Health,healthcare_service_facing_issues,sgk_health_service_quality_problem,SORUN_SAG_HIZMET,B22.1 Bağlı bulunduğunuz sosyal güvenlik kuruluşu vasıtasıyla aldığınız sağlık hizmetlerinin kalitesinde sorun yaşıyor musunuz?,b22_1,1 Evet; 2 Hayır; 3 Fikri yok,MISSING (not found in questionnaire),,MISSING (not found in questionnaire),,MISSING (not found in questionnaire),,MISSING (not found in questionnaire),
Health,healthcare_service_facing_issues,sgk_medicine_purchase_problem,SORUN_ILAC,"B22.3 Bağlı bulunduğunuz sosyal güvenlik kuruluşu vasıtasıyla aldığınız hizmetlerden, ilaç alımı ile ilgili işlemlerde sorun yaşıyor musunuz?",b22_3,1 Evet; 2 Hayır; 3 Fikri yok,b22_2,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_ILAC,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_ILAC,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_ILAC,1 Evet; 2 Hayır; 3 Fikri yok
Health,healthcare_service_facing_issues,waiting_time_problem,SORUN_SIRABEKLE,"B30.9 Sağlık hizmeti aldığınız kuruluşlarla ilgili, muayene ve/veya tahlil için sıra beklemede sorun var mı?",b30_9,1 Evet; 2 Hayır; 3 Fikrim yok,b30_9,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_SIRABEKLE,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_SIRABEKLE,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_SIRABEKLE,1 Evet; 2 Hayır; 3 Fikri yok
Health,own_health_satisfaction,health_satisfaction,OLCEK_MEMNUNIYET_SAGLIK,B12.1 Sağlığınızdan memnun musunuz?,b12_1,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,b12_1,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,OLCEK_MEMNUNIYET_SAGLIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,OLCEK_MEMNUNIYET_SAGLIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,OLCEK_MEMNUNIYET_SAGLIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil
Education,access,educational_attainment,OKUL_BITEN,B2 En son hangi okulu bitirdiniz?,b2,0 Bir okul bitirmedi; 1 İlkokul; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans/doktora(5 veya 6 yıllık fakülteler dahil); 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise,b2,0 Bir okul bitirmedi; 1 İlkokul; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans/doktora(5 veya 6 yıllık fakülteler dahil); 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise,OKUL_BITEN,0 Bir okul bitirmedi; 1 İlkokul; 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans/doktora(5 veya 6 yıllık fakülteler dahil); 7 Doktora,OKUL_BITEN,0 Bir okul bitirmedi; 1 İlkokul; 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans (5 veya 6 yıllık fakülteler dahil); 7 Doktora,OKUL_BITEN,1 Bir okul bitirmedi; 2 İlkokul; 31 Genel ortaokul; 32 Mesleki veya teknik ortaokul; 33 İlköğretim; 41 Genel lise; 42 Mesleki veya teknik lise; 511 2 veya 3 yıllık yüksekokul; 512 4 yıllık yüksekokul veya fakülte; 52 Yüksek lisans (5 veya 6 yıllık fakülteler dahil); 53 Doktora
Education,attainment,own_education_satisfaction,OLCEK_MEMNUNIYET_EGITIM,B12.3 Şimdiye kadar almış olduğunuz eğitimden memnun musunuz?,b12_3,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı,b12_3,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı,OLCEK_MEMNUNIYET_EGITIM,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı,OLCEK_MEMNUNIYET_EGITIM,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı,OLCEK_MEMNUNIYET_EGITIM,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı
Education,educational_issues,classroom_overcrowding,DEV_OGRENCI_SAYISI; OZEL_OGR_SAYI,H16.A7 Sınıflardaki öğrenci sayısı nasıl?,h16 / h17,1 Normal; 2 Kalabalık; 3 Aşırı kalabalık || 1 Normal; 2 Kalabalık; 3 Aşırı kalabalık,h16 / h17,1 Normal; 2 Kalabalık; 3 Aşırı kalabalık; 4 İlgili değil || 1 Normal; 2 Kalabalık; 3 Aşırı kalabalık,DEV_OGRENCI_SAYISI / OZEL_OGR_SAYI,1 Normal; 2 Kalabalık; 3 Aşırı kalabalık; 4 İlgili değil || 1 Normal; 2 Kalabalık; 3 Aşırı kalabalık,DEV_OGRENCI_SAYISI / OZEL_OGR_SAYI,1 Normal; 2 Kalabalık; 3 Aşırı kalabalık; 4 İlgili değil || 1 Normal; 2 Kalabalık; 3 Aşırı kalabalık,DEV_OGRENCI_SAYISI / OZEL_OGR_SAYI,1 Normal; 2 Kalabalık; 3 Aşırı kalabalık; 4 İlgili değil || 1 Normal; 2 Kalabalık; 3 Aşırı kalabalık
Education,educational_issues,school_administration_satisfaction,DEV_OKUL_IDR; OZEL_OKUL_IDR,H16.A4 Okul idaresinin genel yaklaşımından memnun musunuz?,h16 / h17,1 Evet; 2 Hayır || 1 Evet; 2 Hayır,h16 / h17,1 Evet; 2 Hayır; 3 İlgili değil || 1 Evet; 2 Hayır,DEV_OKUL_IDR / OZEL_OKUL_IDR,1 Evet; 2 Hayır; 3 İlgili değil || 1 Evet; 2 Hayır,DEV_OKUL_IDR / OZEL_OKUL_IDR,1 Evet; 2 Hayır; 3 İlgili değil || 1 Evet; 2 Hayır,DEV_OKUL_IDR / OZEL_OKUL_IDR,1 Evet; 2 Hayır; 3 İlgili değil || 1 Evet; 2 Hayır
