Regression,Ologit Group,Variable (concept),Raw survey variable,Reference question (latest available wording),2013 column,2013 answers,2014 column,2014 answers,2015 column,2015 answers,2016 column,2016 answers,2017 column,2017 answers
Events (separate regression),crime / victimization,crime_robbery,GASP,B33.2 2013 yılında gasp olayı yaşadınız mı?,b33_2,1 Evet; 2 Hayır,b33_2,1 Evet; 2 Hayır,GASP,1 Evet; 2 Hayır,GASP,1 Evet; 2 Hayır [GASP=2 ise B33.3'e geçiniz],GASP,1 Evet; 2 Hayır [GASP=2 ise B34.3'e geçiniz]
Events (separate regression),crime / victimization,crime_physical_assault,DARP,"B33.3 2013 yılında yaralanma, darp olayı yaşadınız mı?",b33_3,1 Evet; 2 Hayır,b33_3,1 Evet; 2 Hayır,DARP,1 Evet; 2 Hayır,DARP,1 Evet; 2 Hayır [DARP=2 ise B33.4'e geçiniz],DARP,1 Evet; 2 Hayır [DARP=2 ise B34.4'e geçiniz]
Events (separate regression),crime / victimization,crime_mistreatment,FERT_KOTU,B33.4 2013 yılında aile fertlerinizin  herhangi birinden  kötü muamele gördünüz mü,b33_4,1 Evet; 2 Hayır,b33_4,1 Evet; 2 Hayır,FERT_KOTU,1 Evet; 2 Hayır,FERT_KOTU,1 Evet; 2 Hayır [FERT_KOTU=2 ise B33.5'e geçiniz],FERT_KOTU,1 Evet; 2 Hayır [FERT_KOTU=2 ise B34.5'e geçiniz]
Events (separate regression),crime / victimization,crime_threat,TEHDIT,"B33.5 2013 yılında herhangi bir nedenden dolayı şantaj, tehdit olayı yaşadınız mı?",b33_5,1 Evet; 2 Hayır,b33_5,1 Evet; 2 Hayır,TEHDIT,1 Evet; 2 Hayır,TEHDIT,1 Evet; 2 Hayır [TEHDIT=2 ise B33.6'ya geçiniz],TEHDIT,1 Evet; 2 Hayır [TEHDIT=2 ise B34.6'ya geçiniz]
Events (separate regression),crime / victimization,crime_victimization_other,MAGDURIYET,B33.6 2013 yılında cinsel suçlardan dolayı mağduriyet yaşadınız mı?,b33_6,1 Evet; 2 Hayır,b33_6,1 Evet; 2 Hayır,MAGDURIYET,1 Evet; 2 Hayır,MAGDURIYET,1 Evet; 2 Hayır [MAGDURIYET=2 ise B33.7'ye geçiniz],MAGDURIYET,1 Evet; 2 Hayır [MAGDURIYET=2 ise B34.7'ye geçiniz]
Events (separate regression),crime / victimization,crime_fraud,DOLANDIR,B33.7 2013 yılında dolandırıcılık sebebiyle herhangi bir  mağduriyet yaşadınız mı?,b33_7,1 Evet; 2 Hayır,b33_7,1 Evet; 2 Hayır,DOLANDIR,1 Evet; 2 Hayır,DOLANDIR,1 Evet; 2 Hayır [DOLANDIR=2 ise B33.8'e geçiniz],DOLANDIR,1 Evet; 2 Hayır [DOLANDIR=2 ise B34.8'e geçiniz]
Events (separate regression),crime / victimization,crime_witnessed_someone_elses_crime,BASKASUC,B33.8 2013 yılında bunların dışında herhangi bir sebepten dolayı mağduriyet yaşadınız mı?,b33_8,1 Evet; 2 Hayır,b33_8,1 Evet; 2 Hayır,BASKASUC,1 Evet; 2 Hayır,BASKASUC,1 Evet; 2 Hayır [BASKASUC=2 ise B34.1'e geçiniz],BASKASUC,1 Evet; 2 Hayır [BASKASUC=2 ise B35.1'e geçiniz]
Events (separate regression),crime / victimization,crime_burglary_general,HIRSIZLIK,"H21 2013 yılında evinizden-işyerinizden hırsızlık, oto hırsızlığı, otodan hırsızlık ya da ev, tarla, bağ, bahçe vb. kasten zarar verme olaylarından dolayı mağduriyet yaşandı mı?",h21,1 Evet; 2 Hayır,h21,1 Evet; 2 Hayır,HIRSIZLIK,1 Evet; 2 Hayır,HIRSIZLIK,1 Evet; 2 Hayır [HIRSIZLIK=2 ise hane soru formu tamamlanmış olup fert soru formuna geçiniz],HIRSIZLIK,1 Evet; 2 Hayır [HIRSIZLIK=2 ise hane soru formu tamamlanmış olup fert soru formuna geçiniz]
Events (separate regression),crime / victimization,crime_home_burglary,EV_HIRS,H21.1 2013 yılında evinizde hırsızlık oldu mu?,h21_1,1 Evet; 2 Hayır,h21_1,1 Evet; 2 Hayır,EV_HIRS,1 Evet; 2 Hayır,EV_HIRS,1 Evet; 2 Hayır [EV_HIRS=2 ise H21.2'ye geçiniz],EV_HIRS,1 Evet; 2 Hayır [EV_HIRS=2 ise H21.2'ye geçiniz]
Events (separate regression),crime / victimization,crime_workplace_burglary,IS_HIRS,H21.21 2013 yılında hanehalkınıza ait işyerinde hırsızlık yaşandı mı?,h21_21,1 Evet; 2 Hayır,h21_2_1,1 Evet; 2 Hayır,IS_HIRS,1 Evet; 2 Hayır,IS_HIRS,1 Evet; 2 Hayır,IS_HIRS,1 Evet; 2 Hayır
Events (separate regression),crime / victimization,crime_farmland_theft,TARLA_HIRS,"H21.3 2013 yılında hanehalkınıza ait ev, araç, tarla, bahçe vb mallarınıza diğer kişiler tarafından kasten zarar verildi mi?",h21_3,1 Evet; 2 Hayır,h21_3,1 Evet; 2 Hayır,TARLA_HIRS,1 Evet; 2 Hayır,TARLA_HIRS,1 Evet; 2 Hayır [TARLA_HIRS=2 ise H21.4'e geçiniz],TARLA_HIRS,1 Evet; 2 Hayır [TARLA_HIRS=2 ise H21.4'e geçiniz]
Events (separate regression),crime / victimization,crime_car_theft,OTO_HIRS,"H21.412013 yılında hanehalkınıza ait otomobil, kamyon, motorsiklet, mopet vb motorlu aracınız çalındı mı?",h21_41,1 Evet; 2 Hayır,h21_4_1,1 Evet; 2 Hayır,OTO_HIRS,1 Evet; 2 Hayır,OTO_HIRS,1 Evet; 2 Hayır [OTO_HIRS=2 ise H21.5'e geçiniz],OTO_HIRS,1 Evet; 2 Hayır [OTO_HIRS=2 ise H21.5'e geçiniz]
Events (separate regression),crime / victimization,crime_motorcycle_theft,MOTOR_HIRS,"H21.5 2013 yılında hanehalkınıza ait motorlu aracınızdan herhangi bir şey ( teyp, çanta vb.) çalındı mı?",h21_5,1 Evet; 2 Hayır,h21_5,1 Evet; 2 Hayır,MOTOR_HIRS,1 Evet; 2 Hayır,MOTOR_HIRS,1 Evet; 2 Hayır [MOTOR_HIRS=2 ise H21.6'ya geçiniz],MOTOR_HIRS,1 Evet; 2 Hayır [MOTOR_HIRS=2 ise H21.6'ya geçiniz]
Events (separate regression),crime / victimization,crime_other,SUC,H21.6 Bunların dışında herhangi bir suçtan dolayı hanenizde mağduriyet yaşandı mı?belirtiniz,h21_6,1 Evet; 2 Hayır,h21_6,1 Evet; 2 Hayır,SUC,1 Evet; 2 Hayır,SUC,1 Evet; 2 Hayır [SUC=2 ise hane soru formu tamamlanmış olup fert soru formuna geçiniz],SUC,1 Evet; 2 Hayır [SUC=2 ise hane soru formu tamamlanmış olup fert soru formuna geçiniz]
Events (separate regression),housing issue,leaky_roof,CATI,"H12.1 Yaşadığınız konutta, sızdıran çatı, nemli duvar, çürümüş pencere çerçeveleri problemi var mı?",h12_1,1 Evet; 2 Hayır,h12_1,1 Evet; 2 Hayır,CATI,1 Evet; 2 Hayır,CATI,1 Evet; 2 Hayır,CATI,1 Evet; 2 Hayır
Events (separate regression),housing issue,poor_lighting,KARANLIK,"H12.2 Yaşadığınız konutta, karanlık, yetersiz gün ışığı problemi var mı?",h12_2,1 Evet; 2 Hayır,h12_2,1 Evet; 2 Hayır,KARANLIK,1 Evet; 2 Hayır,KARANLIK,1 Evet; 2 Hayır,KARANLIK,1 Evet; 2 Hayır
Events (separate regression),housing issue,flooding,SU_BASKINI,"H12.3 Yaşadığınız konutta, yağmur yağınca kanalizasyon taşması/su baskını problemi var mı?",h12_3,1 Evet; 2 Hayır,h12_3,1 Evet; 2 Hayır,SU_BASKINI,1 Evet; 2 Hayır,SU_BASKINI,1 Evet; 2 Hayır,SU_BASKINI,1 Evet; 2 Hayır
